                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95547,                0.65153,                 1.4888,                 0.9798,                0.95482,                0.98008,                0.77514,                0.80622,                0.49303,                 1.4958,              0.0006536,              0.0006536,              0.0006536
                     36,                  0.941,                0.64118,                 1.4901,                0.98176,                0.96063,                0.98703,                0.78851,                0.80002,                0.45499,                 1.4801,               0.000614,               0.000614,               0.000614
                     37,                0.92621,                0.62075,                 1.4611,                0.93695,                0.93608,                0.96505,                0.75445,                 0.8489,                0.58218,                 1.5347,              0.0005744,              0.0005744,              0.0005744
                     38,                0.90341,                0.61104,                 1.4489,                0.97871,                0.97244,                0.98402,                0.77031,                0.83471,                0.46276,                 1.5303,              0.0005348,              0.0005348,              0.0005348
                     39,                0.91086,                0.59523,                 1.4497,                0.98854,                0.96457,                0.98593,                0.77749,                0.80419,                0.44502,                 1.4677,              0.0004952,              0.0004952,              0.0004952
                     40,                0.89014,                0.57931,                 1.4188,                0.97405,                0.96063,                0.98409,                0.79317,                0.79783,                0.45061,                 1.4777,              0.0004556,              0.0004556,              0.0004556
                     41,                0.74777,                0.48037,                 1.3546,                0.97615,                0.96668,                0.98391,                0.79627,                0.76965,                0.45092,                 1.4411,               0.000416,               0.000416,               0.000416
                     42,                0.76584,                0.46841,                 1.3632,                0.98175,                 0.9685,                0.98385,                0.79679,                  0.754,                0.43698,                 1.4447,              0.0003764,              0.0003764,              0.0003764
                     43,                0.72805,                0.44671,                 1.3489,                0.99146,                0.96457,                0.98637,                0.81136,                0.75536,                0.42489,                 1.4266,              0.0003368,              0.0003368,              0.0003368
                     44,                0.69581,                0.43346,                 1.3043,                0.98388,                0.96457,                0.98507,                0.80604,                0.75075,                0.41569,                  1.418,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.6893,                0.42957,                  1.297,                0.98793,                0.96699,                0.98759,                0.80142,                0.76719,                0.41433,                 1.4494,              0.0002576,              0.0002576,              0.0002576
                     46,                0.68199,                0.41987,                 1.2887,                0.97616,                0.96736,                0.98446,                0.80922,                0.71803,                0.40055,                 1.3887,               0.000218,               0.000218,               0.000218
                     47,                0.66387,                0.40293,                 1.2705,                0.98728,                0.97244,                0.98767,                0.81115,                0.71802,                0.39394,                 1.3933,              0.0001784,              0.0001784,              0.0001784
                     48,                0.66034,                0.41056,                  1.272,                0.98312,                0.97244,                0.98797,                0.81572,                0.72287,                0.39237,                 1.3963,              0.0001388,              0.0001388,              0.0001388
                     49,                0.64233,                0.39185,                 1.2504,                0.99023,                0.97244,                0.98541,                0.81846,                 0.7076,                0.39231,                 1.3748,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.62411,                0.38626,                 1.2377,                0.99196,                0.97125,                0.98595,                0.82083,                 0.7009,                0.37732,                 1.3749,               5.96e-05,               5.96e-05,               5.96e-05
